time: 0.14200139045715332, average: 1.4200139045715332e-05
p0 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p46 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p47 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p48 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p49 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p50 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p51 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p52 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p53 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p54 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p55 = Tree[a, {Tree[a, {a}],a,a,a}]
p56 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p57 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p58 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p59 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p60 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p61 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p62 = Tree[a, {a,Tree[a, {a,a}],a}]
p63 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p64 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p65 = Tree[a, {a,a,Tree[a, {a,a}]}]
p66 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p67 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p68 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p69 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p70 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p71 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p72 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p73 = Tree[a, {a,a,a,Tree[a, {a}]}]
p74 = Tree[a, {a,Tree[a, {a,a,a}]}]
p75 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p76 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p77 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p78 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p79 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p80 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p81 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p82 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p83 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p84 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p85 = Tree[a, {a,a,Tree[a, {a,a}]}]
p86 = Tree[a, {a,a,a,Tree[a, {a}]}]
p87 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p88 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p89 = Tree[a, {a,Tree[a, {a,a,a}]}]
p90 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p91 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p92 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p93 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p94 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p95 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p96 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p97 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p98 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p99 = Tree[a, {a,Tree[a, {a,a}],a}]
p100 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p101 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p102 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p103 = Tree[a, {Tree[a, {a}],a,a,a}]
p104 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p105 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p106 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p107 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p108 = Tree[a, {a,a,a,Tree[a, {a}]}]
p109 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p110 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p111 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p112 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p113 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p114 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p115 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p116 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p117 = Tree[a, {a,a,a,a,a}]
p118 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p119 = Tree[a, {Tree[a, {a,a,a,a}]}]
p120 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p121 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p122 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p123 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p124 = Tree[a, {a,a,a,a,a}]
p125 = Tree[a, {a,Tree[a, {a,a}],a}]
p126 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p127 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p128 = Tree[a, {a,Tree[a, {a,a,a}]}]
p129 = Tree[a, {a,Tree[a, {a,a}],a}]
p130 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p131 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p132 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p133 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p134 = Tree[a, {a,a,Tree[a, {a}],a}]
p135 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p136 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p137 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p138 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p139 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p140 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p141 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p142 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p143 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p144 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p145 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p146 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p147 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p148 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p149 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p150 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p151 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p152 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p153 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p154 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p155 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p156 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p157 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p158 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p159 = Tree[a, {a,a,a,Tree[a, {a}]}]
p160 = Tree[a, {a,a,Tree[a, {a}],a}]
p161 = Tree[a, {a,a,a,a,a}]
p162 = Tree[a, {Tree[a, {a,a,a,a}]}]
p163 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p164 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p165 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p166 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p167 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p168 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p169 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p170 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p171 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p172 = Tree[a, {a,a,Tree[a, {a}],a}]
p173 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p174 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p175 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p176 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p177 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p178 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p179 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p180 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p181 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p182 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p183 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p184 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p185 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p186 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p187 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p188 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p189 = Tree[a, {a,a,Tree[a, {a}],a}]
p190 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p191 = Tree[a, {a,Tree[a, {a,a}],a}]
p192 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p193 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p194 = Tree[a, {a,Tree[a, {a,a}],a}]
p195 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p196 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p197 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p198 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p199 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p200 = Tree[a, {a,a,a,Tree[a, {a}]}]
p201 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p202 = Tree[a, {a,a,Tree[a, {a,a}]}]
p203 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p204 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p205 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p206 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p207 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p208 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p209 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p210 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p211 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p212 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p213 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p214 = Tree[a, {a,a,Tree[a, {a}],a}]
p215 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p216 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p217 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p218 = Tree[a, {a,a,Tree[a, {a,a}]}]
p219 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p220 = Tree[a, {a,a,a,Tree[a, {a}]}]
p221 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p222 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p223 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p224 = Tree[a, {a,Tree[a, {a,a,a}]}]
p225 = Tree[a, {a,a,Tree[a, {a,a}]}]
p226 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p227 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p228 = Tree[a, {a,Tree[a, {a}],a,a}]
p229 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p230 = Tree[a, {Tree[a, {a,a,a}],a}]
p231 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p232 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p233 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p234 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p235 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p236 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p237 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p238 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p239 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p240 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p241 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p242 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p243 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p244 = Tree[a, {a,a,a,a,a}]
p245 = Tree[a, {a,a,a,Tree[a, {a}]}]
p246 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p247 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p248 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p249 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p250 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p251 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p252 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p253 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p254 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p255 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p256 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p257 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p258 = Tree[a, {Tree[a, {a,a}],a,a}]
p259 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p260 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p261 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p262 = Tree[a, {a,a,Tree[a, {a,a}]}]
p263 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p264 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p265 = Tree[a, {a,Tree[a, {a}],a,a}]
p266 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p267 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p268 = Tree[a, {a,Tree[a, {a,a,a}]}]
p269 = Tree[a, {Tree[a, {a,a,a}],a}]
p270 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p271 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p272 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p273 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p274 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p275 = Tree[a, {a,a,a,Tree[a, {a}]}]
p276 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p277 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p278 = Tree[a, {Tree[a, {a,Tree[a, {a}],a}]}]
p279 = Tree[a, {a,Tree[a, {a,a,a}]}]
p280 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}],a}]}]}]
p281 = Tree[a, {Tree[a, {a,a}],a,a}]
p282 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p283 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p284 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]}]
p285 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p286 = Tree[a, {a,a,Tree[a, {a}],a}]
p287 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p288 = Tree[a, {a,Tree[a, {Tree[a, {a,a}]}]}]
p289 = Tree[a, {Tree[a, {a,a}],a,a}]
p290 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p291 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p292 = Tree[a, {a,a,Tree[a, {Tree[a, {a}]}]}]
p293 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p294 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p295 = Tree[a, {a,a,Tree[a, {a}],a}]
p296 = Tree[a, {a,a,a,Tree[a, {a}]}]
p297 = Tree[a, {a,a,a,a,a}]
p298 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p299 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p300 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p301 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p302 = Tree[a, {Tree[a, {a,a}],a,a}]
p303 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p304 = Tree[a, {a,a,Tree[a, {a,a}]}]
p305 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p306 = Tree[a, {a,a,Tree[a, {a}],a}]
p307 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p308 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p309 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p310 = Tree[a, {a,a,Tree[a, {a}],a}]
p311 = Tree[a, {a,Tree[a, {Tree[a, {a}]}],a}]
p312 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p313 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p314 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p315 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p316 = Tree[a, {a,a,Tree[a, {a,a}]}]
p317 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p318 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p319 = Tree[a, {Tree[a, {a,a}],Tree[a, {a}]}]
p320 = Tree[a, {a,a,Tree[a, {a}],a}]
p321 = Tree[a, {a,Tree[a, {a}],Tree[a, {a}]}]
p322 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p323 = Tree[a, {Tree[a, {a}],a,Tree[a, {a}]}]
p324 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p325 = Tree[a, {a,Tree[a, {a,a}],a}]
p326 = Tree[a, {Tree[a, {a,a}],a,a}]
p327 = Tree[a, {Tree[a, {Tree[a, {a}],a}],a}]
p328 = Tree[a, {a,a,Tree[a, {a,a}]}]
p329 = Tree[a, {Tree[a, {a}],Tree[a, {Tree[a, {a}]}]}]
p330 = Tree[a, {a,a,a,a,a}]
p331 = Tree[a, {Tree[a, {a}],a,a,a}]
p332 = Tree[a, {Tree[a, {a,a,a}],a}]
p333 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p334 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p335 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p336 = Tree[a, {Tree[a, {a,Tree[a, {a}]}],a}]
p337 = Tree[a, {Tree[a, {a}],Tree[a, {a}],a}]
p338 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p339 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p340 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p341 = Tree[a, {Tree[a, {Tree[a, {a}],a,a}]}]
p342 = Tree[a, {a,Tree[a, {Tree[a, {a}],a}]}]
p343 = Tree[a, {Tree[a, {Tree[a, {a}],Tree[a, {a}]}]}]
p344 = Tree[a, {a,Tree[a, {a,a}],a}]
p345 = Tree[a, {Tree[a, {Tree[a, {a,a}],a}]}]
p346 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p347 = Tree[a, {Tree[a, {Tree[a, {a,a,a}]}]}]
p348 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}]}],a}]
p349 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p350 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p351 = Tree[a, {Tree[a, {a,a,a}],a}]
p352 = Tree[a, {a,Tree[a, {a,a}],a}]
p353 = Tree[a, {a,a,a,Tree[a, {a}]}]
p354 = Tree[a, {Tree[a, {a,a}],a,a}]
p355 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p356 = Tree[a, {a,a,Tree[a, {a}],a}]
p357 = Tree[a, {Tree[a, {a,a,Tree[a, {a}]}]}]
p358 = Tree[a, {Tree[a, {a}],Tree[a, {a,a}]}]
p359 = Tree[a, {a,Tree[a, {a}],a,a}]
p360 = Tree[a, {a,a,a,Tree[a, {a}]}]
p361 = Tree[a, {Tree[a, {a,a,a}],a}]
p362 = Tree[a, {Tree[a, {a}],a,a,a}]
p363 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p364 = Tree[a, {a,Tree[a, {a,Tree[a, {a}]}]}]
p365 = Tree[a, {Tree[a, {a,a,a,a}]}]
p366 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p367 = Tree[a, {a,a,a,a,a}]
p368 = Tree[a, {a,Tree[a, {Tree[a, {Tree[a, {a}]}]}]}]
p369 = Tree[a, {a,a,Tree[a, {a}],a}]
p370 = Tree[a, {Tree[a, {Tree[a, {a}]}],a,a}]
p371 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p372 = Tree[a, {Tree[a, {Tree[a, {a,a}]}],a}]
p373 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a,a}]}]}]}]
p374 = Tree[a, {Tree[a, {a,Tree[a, {a,a}]}]}]
p375 = Tree[a, {Tree[a, {Tree[a, {a}]}],Tree[a, {a}]}]
p376 = Tree[a, {Tree[a, {a,Tree[a, {Tree[a, {a}]}]}]}]
p377 = Tree[a, {Tree[a, {Tree[a, {a,Tree[a, {a}]}]}]}]
p378 = Tree[a, {a,a,a,Tree[a, {a}]}]
p379 = Tree[a, {Tree[a, {Tree[a, {Tree[a, {a}]}],a}]}]
p380 = Tree[a, {Tree[a, {a,a,a,a}]}]
